,random,random
barabasi_nonlinear_15_31.edgelist,108.45,228.6
barabasi_nonlinear_15_55.edgelist,95.86,219.0
barabasi_nonlinear_15_97.edgelist,134.67,279.67
barabasi_nonlinear_15_38.edgelist,92.21,248.96
barabasi_nonlinear_15_16.edgelist,73.17,227.01
barabasi_nonlinear_15_14.edgelist,68.99,230.99
barabasi_nonlinear_15_53.edgelist,81.36,252.2
barabasi_nonlinear_15_84.edgelist,131.26,258.77
barabasi_nonlinear_15_30.edgelist,82.62,258.89
barabasi_nonlinear_15_89.edgelist,102.48,220.61
barabasi_nonlinear_15_49.edgelist,81.69,218.82
barabasi_nonlinear_15_44.edgelist,83.04,258.89
barabasi_nonlinear_15_86.edgelist,112.9,240.72
barabasi_nonlinear_15_60.edgelist,101.82,230.96
barabasi_nonlinear_15_22.edgelist,136.63,241.05
